TSNE1,TSNE2,Class,true_label_encoded,kmeans_cluster
12.451734,-3.4576187,angry,0,2
6.1454678,-2.6362686,angry,0,3
5.918622,-15.7240715,angry,0,3
0.04911792,-7.8940835,angry,0,3
-4.048609,-7.3158846,angry,0,3
-0.22965488,-4.6514916,angry,0,3
-1.1129425,-9.81882,angry,0,3
7.6256514,-6.8981605,angry,0,3
4.4237986,-12.585117,angry,0,3
1.3202449,-7.0459285,angry,0,3
10.662115,0.47470123,angry,0,2
10.160201,-1.4489433,angry,0,2
-0.58953726,-15.111846,angry,0,3
-2.9347384,5.809861,angry,0,0
-2.2104533,-11.437438,angry,0,3
7.868728,-5.1853004,angry,0,3
-1.6676514,-8.6209345,angry,0,3
11.018537,-3.8433466,angry,0,2
11.883903,0.7359178,angry,0,2
2.8441508,0.6549182,angry,0,3
-2.57904,-11.459261,angry,0,3
2.067533,-8.707058,angry,0,3
4.1960807,-11.007544,angry,0,3
-4.45572,-11.7025385,angry,0,3
5.831607,-6.6067705,angry,0,3
11.819746,1.2044338,angry,0,2
4.34823,-12.047226,angry,0,3
5.2124667,-8.269832,angry,0,3
-8.721561,-18.984604,angry,0,1
-0.29066715,3.571617,angry,0,0
-3.1829553,-12.487122,angry,0,3
15.478662,-4.88032,angry,0,2
11.100527,-2.8051188,angry,0,2
12.946555,6.7303905,angry,0,2
2.5886722,-9.661671,angry,0,3
7.0472636,-0.91207224,angry,0,3
10.571215,-2.7756026,angry,0,2
-8.684033,-2.6953979,angry,0,1
3.5987687,-0.18523715,angry,0,3
-1.806741,-14.221131,angry,0,3
8.175438,-7.3160686,angry,0,3
5.199549,-5.4133406,angry,0,3
9.848419,-2.2463377,angry,0,2
-11.40142,-10.764221,angry,0,1
4.247543,-2.61961,angry,0,3
8.371898,-3.6570008,angry,0,3
-2.7756414,-10.247028,angry,0,3
13.543968,-0.8092836,angry,0,2
9.762678,-4.6819143,angry,0,3
3.7261698,-4.7134476,angry,0,3
-15.31743,4.8457766,angry,0,1
8.939526,-9.59584,angry,0,3
-2.384871,-13.107789,angry,0,3
4.8282256,-8.841053,angry,0,3
6.643512,-9.499816,angry,0,3
6.7018704,-6.572068,angry,0,3
14.120123,-1.1032059,angry,0,2
2.518834,-8.204808,angry,0,3
-3.2654724,-13.604071,angry,0,3
-0.45825464,-12.2479105,angry,0,3
-0.88836724,-11.9964075,angry,0,3
4.2000527,-7.3942275,angry,0,3
2.3624144,-16.790207,angry,0,3
2.3786922,-16.801968,angry,0,3
1.5043492,-16.289648,angry,0,3
12.110036,-0.9173825,angry,0,2
10.165431,-5.376452,angry,0,3
0.11540254,-5.75838,angry,0,3
6.3434653,-8.421995,angry,0,3
12.0870495,-1.8680696,angry,0,2
13.577009,0.4458327,angry,0,2
6.222863,-11.635208,angry,0,3
0.60193026,-8.869911,angry,0,3
16.57705,-6.5929613,angry,0,2
-7.074879,-0.19901045,angry,0,1
4.246448,-6.154727,angry,0,3
13.594781,-3.680644,angry,0,2
-18.876614,-1.7963959,angry,0,1
2.7678936,-9.862762,angry,0,3
5.4711633,-4.8058696,angry,0,3
-1.8552309,-1.6963623,angry,0,3
15.009449,4.0173116,angry,0,2
-1.199862,-8.306248,angry,0,3
16.53934,0.1824219,angry,0,2
15.252369,-0.25486425,angry,0,2
-16.202698,-0.8290071,angry,0,1
6.1136374,3.851531,angry,0,2
-6.190847,0.7644011,angry,0,1
5.320778,-10.868009,angry,0,3
12.187234,-5.7892065,angry,0,3
-7.6130686,-0.41558644,angry,0,1
9.170543,-1.4454207,angry,0,2
2.0743587,-10.407081,angry,0,3
5.497885,-4.2609267,angry,0,3
7.0698833,-4.3041687,angry,0,3
9.105928,-5.60412,angry,0,3
